fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be cautious,0.00676710799885272,-0.13936543879863425,0.15289965479633968,0.9276816737503277,879,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be generous,0.013958954347895895,-0.008950990479607932,0.03686889917539972,0.23239988528937705,879,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,coop_lag_same_role,,-0.22739250408638498,-0.37824763952980067,-0.07653736864296928,0.003133132929369094,879,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,-0.005158562772615716,-0.04597401232928364,0.03565688678405221,0.8043549601002185,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,-0.001894118755361984,-0.010479065861497265,0.006690828350773298,0.6654275750674383,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,0.009573322062897585,-0.034473697304831886,0.05362034143062706,0.670118827261988,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,0.0042750045341284106,-0.0038831413794665204,0.012433150447723341,0.30439512235175303,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.31075044374352634,-0.5509586000907896,-0.07054228739626314,0.0112271050562692,754,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,0.01696552056447327,-0.05147380843900444,0.08540484956795098,0.6270677057551737,850,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,-0.0024390370809068457,-0.01153151072268659,0.006653436560872899,0.5990575763829853,850,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,0.017043630865985992,-0.02541121654417856,0.05949847827615054,0.4313792506823305,850,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,0.005178277854307065,-0.003494764099937921,0.013851319808552053,0.24191843310954342,850,30
agent,8-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,-0.0013577649594763864,-0.07623579916475702,0.07352026924580425,0.9716490969772101,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.01657945000911626,-0.005436139790167424,0.03859503980839994,0.1399424977865412,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,-0.043592259388069425,-0.11195202442415997,0.02476750564802111,0.2113553836813068,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,-0.005941303056898498,-0.03806867515231312,0.026186069038516124,0.7170117346804176,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,-0.11065732714209614,-0.19526157248845677,-0.026053081795735525,0.010361778658545474,1920,60
agent,8-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,0.003911419118191841,-0.06733644017741738,0.07515927841380107,0.9143133205495547,2040,60
agent,8-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.01823920226433677,-0.004169025953478088,0.04064743048215163,0.11064184341670653,2040,60
agent,8-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,-0.04261135594968192,-0.10453566907015875,0.01931295717079491,0.17743644920337842,2040,60
agent,8-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.006862391314729162,-0.03920896033243917,0.025484177702980844,0.6775487475543247,2040,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.02219036250888366,-0.0825839382486729,0.03820321323090557,0.4714338913292083,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be generous,0.07434139635727757,0.037574986963504343,0.11110780575105081,7.400383694962338e-05,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be cautious,-0.015986632562960425,-0.09410721244847198,0.06213394732255112,0.6883553645602121,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be generous,0.013850024320091558,-0.012207763394865892,0.039907812035049006,0.2975302972136694,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,coop_lag_same_role,,-0.1099550746609155,-0.20010751508168045,-0.019802634240150566,0.01682617218097261,1758,60
agent,8-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,0.001323735202020164,-0.020092826331089792,0.02274029673513012,0.9035775191317004,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,0.006258497053170409,-0.004016732206194012,0.01653372631253483,0.23256153769311572,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,-0.006750226333911504,-0.02204840213100697,0.008547949463183964,0.3871364398892905,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,0.00018415380936685072,-0.009008183551306748,0.00937649117004045,0.968679309871589,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.029228448587901888,-0.09183831148864856,0.03338141431284479,0.36020268147141377,1596,60
