child_family,marker_family,size,group,round,marker_rate_mean,marker_rate_sd,n_myths
Sonnet,GPT,8,"mixed, shown other family",10,0.005555555555555555,0.006447649527488858,50
Sonnet,GPT,8,"mixed, round 1 (nothing shown)",1,0.0030718954248366006,0.004984150667208215,170
Sonnet,Gemini,2,homogeneous,1,0.0029914529914529912,0.004182568247261478,20
Sonnet,Gemini,2,homogeneous,2,0.0036324786324786326,0.003473195302936962,20
Sonnet,Gemini,2,homogeneous,3,0.0012820512820512823,0.002009240794793279,20
Sonnet,Gemini,2,homogeneous,4,0.001495726495726496,0.0034731953029369616,20
Sonnet,Gemini,2,homogeneous,5,0.0017094017094017096,0.002556594194940679,20
Sonnet,Gemini,2,homogeneous,6,0.002991452991452992,0.004619381485252831,20
Sonnet,Gemini,2,homogeneous,7,0.0019230769230769232,0.002933045902364358,20
Sonnet,Gemini,2,homogeneous,8,0.0023504273504273503,0.0032442506603258476,20
Sonnet,Gemini,2,homogeneous,9,0.001282051282051282,0.002441199019561878,20
Sonnet,Gemini,2,homogeneous,10,0.00405982905982906,0.0044874472426165,20
Sonnet,Gemini,2,"mixed, shown other family",2,0.00747863247863248,0.0070868051075970075,12
Sonnet,Gemini,2,"mixed, shown other family",3,0.012820512820512822,0.007731060117378554,12
Sonnet,Gemini,2,"mixed, shown other family",4,0.019586894586894586,0.013071657370960344,12
Sonnet,Gemini,2,"mixed, shown other family",5,0.020655270655270657,0.011785934776944005,12
Sonnet,Gemini,2,"mixed, shown other family",6,0.025641025641025644,0.01387767762198271,12
Sonnet,Gemini,2,"mixed, shown other family",7,0.02492877492877493,0.008514571964919844,12
Sonnet,Gemini,2,"mixed, shown other family",8,0.024572649572649572,0.014477830687035025,12
Sonnet,Gemini,2,"mixed, shown other family",9,0.023504273504273504,0.015300208754868077,12
Sonnet,Gemini,2,"mixed, shown other family",10,0.02492877492877493,0.013737394246428707,12
Sonnet,Gemini,2,"mixed, round 1 (nothing shown)",1,0.002849002849002849,0.00420825610185753,12
